ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDLCPO25N000128300,장소,문화시설,23724395,CU,구남동원점,,90704,CU,2.65301e+18,부산광역시,사상구,모라동,,1380,2653010200,2653059100,265304000000.0,백양대로934번길,94,128.9944703,35.1930799,마라360896,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128312,장소,문화시설,23724407,CU,부산글로벌테크점,,90704,CU,2.64401e+18,부산광역시,강서구,미음동,,1522-2,2644011500,2644056000,264403000000.0,미음산단5로41번길,71,128.8675924,35.1617601,마라245860,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128316,장소,문화시설,23725381,세븐일레븐,김해롯데리조트점,,90701,세븐일레븐,4.82501e+18,경상남도,김해시,신문동,,1411,4825012700,4825061000,482503000000.0,장유로,505,128.8254137,35.181107,마라206881,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128325,장소,문화시설,23726192,이마트24,고성스타점,,90710,이마트24,4.88203e+18,경상남도,고성군,고성읍,서외리,152,4882025022,4882025000,488203000000.0,성내로,92,128.3190731,34.9754149,라라747648,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128334,장소,문화시설,23727410,이마트24,내트럭신항웅동점,,90710,이마트24,4.81292e+18,경상남도,창원시진해구,남문동,,1190-3,4812915000,4812964000,481293000000.0,신항10로,98,128.7774066,35.0910501,마라164780,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128370,장소,문화시설,23742236,이마트24,시청남영점,,90710,이마트24,2.62301e+18,부산광역시,부산진구,양정동,,248-7,2623010100,2623057000,262304000000.0,중앙대로989번길,54,129.0723443,35.1789753,마라431882,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128392,장소,문화시설,23749785,GS25,명지스위트팰리스점,,90702,GS25,2.64401e+18,부산광역시,강서구,명지동,,3325,2644010400,2644053500,264403000000.0,명지국제5로,165,128.9210243,35.1084718,마라295801,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128393,장소,문화시설,23749786,GS25,부산대중앙점,,90702,GS25,2.64101e+18,부산광역시,금정구,장전동,,419-10,2641010800,2641061000,264103000000.0,금강로,271-4,129.0852218,35.2324795,마라442941,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128394,장소,문화시설,23749787,GS25,기장읍내로점,,90702,GS25,2.67103e+18,부산광역시,기장군,기장읍,동부리,164-1,2671025021,2671025000,267104000000.0,읍내로94번길,2,129.2143824,35.2446569,마라559957,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128395,장소,문화시설,23749788,GS25,방곡초교점,,90702,GS25,2.67103e+18,부산광역시,기장군,정관읍,방곡리,428-4,2671025621,2671025600,267104000000.0,정관덕산길,47,129.1849685,35.3224159,마마531042,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128396,장소,문화시설,23749789,GS25,래미안포레2단지점,,90702,GS25,2.62601e+18,부산광역시,동래구,온천동,,100-13,2626010800,2626055000,262604000000.0,금강로131번길,41,129.0778122,35.2192507,마라435926,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128397,장소,문화시설,23749790,GS25,덕천의성로점,,90702,GS25,2.63201e+18,부산광역시,북구,덕천동,,418-1,2632010400,2632056100,263203000000.0,의성로,117,129.0111977,35.2102642,마라375915,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128398,장소,문화시설,23749791,GS25,괴정국제오성점,,90702,GS25,2.63801e+18,부산광역시,사하구,괴정동,,494-1,2638010100,2638051000,263804000000.0,사하로141번길,17,128.9918036,35.0945658,마라359787,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
